Date,Price,Change,PercentChange,dummy,
2019/11/28,33.64,-0.6,-1.752336449,0,
2019/11/21,34.24,-6.48,-15.91355599,0,
2019/11/14,40.72,0.42,1.042183623,1,
2019/11/7,40.3,6.32,18.59917599,1,
2019/10/31,33.98,-1.62,-4.550561798,0,
2019/10/24,35.6,1.98,5.889351576,1,
2019/10/17,33.62,13.31,65.5342196,1,
2019/10/10,20.31,-1.06,-4.960224614,0,
2019/10/3,21.37,-8,-27.23867892,0,
2019/9/26,29.37,-5.97,-16.89303905,0,
2019/9/19,35.34,2.21,6.670691216,1,
2019/9/12,33.13,4.49,15.6773743,1,
2019/9/5,28.64,2.51,9.605817069,1,
2019/8/29,26.13,-0.51,-1.914414414,0,
2019/8/22,26.64,3.46,14.92666091,1,
2019/8/15,23.18,1.52,7.01754386,1,
2019/8/8,21.66,-16.78,-43.65244537,0,
2019/8/1,38.44,6.7,21.10901071,1,
2019/7/25,31.74,-4.19,-11.66156415,0,
2019/7/18,35.93,2.32,6.902707528,1,
2019/7/11,33.61,0.45,1.357056695,1,
2019/7/4,33.16,3.57,12.06488679,1,
2019/6/27,29.59,0.08,0.271094544,1,
2019/6/20,29.51,2.67,9.947839046,1,
2019/6/13,26.84,4.31,19.13004882,1,
2019/6/6,22.53,-2.26,-9.116579266,0,
2019/5/30,24.79,0.08,0.323755565,1,
2019/5/23,24.71,-5.11,-17.13615023,0,
2019/5/16,29.82,-13.3,-30.84415584,0,
2019/5/9,43.12,4.1,10.50743209,1,
2019/5/2,39.02,5.5,16.40811456,1,
2019/4/25,33.52,-4.04,-10.75612354,0,
2019/4/18,37.56,-2.73,-6.775874907,0,
2019/4/11,40.29,5.27,15.04854369,1,
2019/4/4,35.02,1.82,5.481927711,1,
2019/3/28,33.2,-4.1,-10.9919571,0,
2019/3/21,37.3,4.88,15.05243677,1,
2019/3/14,32.42,-4.97,-13.29232415,0,
2019/3/7,37.39,-4.24,-10.18496277,0,
2019/2/28,41.63,2.31,5.874872838,1,
2019/2/21,39.32,4.22,12.02279202,1,
2019/2/14,35.1,-4.77,-11.96388262,0,
2019/2/7,39.87,8.11,25.53526448,1,
2019/1/31,31.76,-5.9,-15.66648964,0,
2019/1/24,37.66,4.13,12.31732777,1,
2019/1/17,33.53,-4.93,-12.81851274,0,
2019/1/10,38.46,5.44,16.47486372,1,
2019/1/3,33.02,1.47,4.659270998,1,
2018/12/27,31.55,6.69,26.91069992,1,
2018/12/20,24.86,3.96,18.94736842,1,
2018/12/13,20.9,-17.04,-44.91302056,0,
2018/12/6,37.94,4.06,11.98347107,1,
2018/11/29,33.88,8.63,34.17821782,1,
2018/11/22,25.25,-9.84,-28.04217726,0,
2018/11/15,35.09,-6.19,-14.99515504,0,
2018/11/8,41.28,3.35,8.832059056,1,
2018/11/1,37.93,9.96,35.60958169,1,
2018/10/25,27.97,-5.97,-17.58986447,0,
2018/10/18,33.94,3.33,10.87879778,1,
2018/10/11,30.61,-15.05,-32.96101621,0,
2018/10/4,45.66,9.44,26.06294865,1,
2018/9/27,36.22,4.18,13.04619226,1,
2018/9/20,32.04,-0.05,-0.155811779,0,
2018/9/13,32.09,-10.13,-23.99336807,0,
2018/9/6,42.22,-1.28,-2.942528736,0,
2018/8/30,43.5,5.04,13.10452418,1,
2018/8/23,38.46,2.29,6.331213713,1,
2018/8/16,36.17,-0.19,-0.522552255,0,
2018/8/9,36.36,7.25,24.90553075,1,
2018/8/2,29.11,-2.41,-7.645939086,0,
2018/7/26,31.52,-3.14,-9.059434507,0,
2018/7/19,34.66,-8.39,-19.48896632,0,
2018/7/12,43.05,15.19,54.52261307,1,
2018/7/5,27.86,-0.59,-2.073813708,0,
2018/6/28,28.45,-10.27,-26.52376033,0,
2018/6/21,38.72,-6.06,-13.53282715,0,
2018/6/14,44.78,5.85,15.02697149,1,
2018/6/7,38.93,3.91,11.16504854,1,
2018/5/31,35.02,-3.54,-9.180497925,0,
2018/5/24,38.56,1.88,5.125408942,1,
2018/5/17,36.68,3.17,9.459862728,1,
2018/5/10,33.51,5.11,17.99295775,1,
2018/5/3,28.4,-8.51,-23.05608236,0,
2018/4/26,36.91,-0.87,-2.302805717,0,
2018/4/19,37.78,11.69,44.80643925,1,
